id,theme,statement,I_statement,total,total_rating,Faith_and_Flag_Conservatives,Faith_and_Flag_Conservatives_rating,Committed_Conservatives,Committed_Conservatives_rating,Populist_Right,Populist_Right_rating,Ambivalent_Right,Ambivalent_Right_rating,Stressed_Sideliners,Stressed_Sideliners_rating,Outsider_Left,Outsider_Left_rating,Democratic_Mainstays,Democratic_Mainstays_rating,Establishment_Liberals,Establishment_Liberals_rating,Progressive_Left,Progressive_Left_rating
26,covid-19,I am not too concerned that I will get the coronavirus and require hospitalization,1,36,2,39,2,41,3,38,2,37,2,34,2,36,2,30,2,38,2,39,2
27,covid-19,I am somewhat concerned that I might spread the coronavirus to other people without knowing that I have it,1,32,2,17,1,27,2,22,2,31,2,33,2,38,2,35,2,42,3,44,3
28,covid-19,I am somewhat concerned that I will get the coronavirus and require hospitalization,1,26,2,17,1,21,2,20,1,24,2,28,2,28,2,30,2,31,2,31,2
29,covid-19,I am very concerned that I might spread the coronavirus to other people without knowing that I have it,1,27,2,4,1,10,1,12,1,19,1,30,2,37,2,37,2,33,2,41,3
30,covid-19,I am very concerned that I will get the coronavirus and require hospitalization,1,19,1,5,1,8,1,11,1,11,1,25,2,21,2,31,2,23,2,19,1
31,covid-19,I have a fair amount of confidence that the research and development process has produced COVID-19 vaccines in the U.S. that are safe and effective,1,33,2,32,2,35,2,32,2,37,2,39,2,35,2,34,2,26,2,22,2
32,covid-19,I have a great deal of confidence that the research and development process has produced COVID-19 vaccines in the U.S. that are safe and effective,1,39,2,18,1,33,2,14,1,26,2,30,2,46,3,52,3,66,4,73,4
33,covid-19,I have had all the shots needed to be fully vaccinated for COVID-19,1,69,4,51,3,65,4,51,3,60,4,64,4,77,4,81,5,88,5,94,5
34,covid-19,I have had one shot for COVID-19 but still need one more,1,4,1,4,1,3,1,3,1,8,1,7,1,2,1,4,1,2,1,1,1
35,covid-19,I have hardly ever worn a mask or face covering when in stores or other businesses in the past month ,1,14,1,31,2,25,2,23,2,22,2,12,1,9,1,7,1,5,1,2,1
36,covid-19,I have never worn a mask or face covering when in stores or other businesses in the past month ,1,11,1,31,2,19,1,23,2,14,1,6,1,3,1,3,1,2,1,0,1
37,covid-19,I have no confidence at all that the research and development process has produced COVID-19 vaccines in the U.S. that are safe and effective,1,12,1,24,2,13,1,30,2,15,1,15,1,8,1,5,1,2,1,1,1
38,covid-19,I have not received a vaccine for COVID-19,1,26,2,41,3,29,2,43,3,31,2,28,2,20,1,15,1,10,1,5,1
39,covid-19,I have not too much confidence that the research and development process has produced COVID-19 vaccines in the U.S. that are safe and effective,1,15,1,25,2,18,1,24,2,23,2,15,1,11,1,9,1,5,1,4,1
40,covid-19,I have worn a mask or face covering when in stores or other businesses all or most of the time in the past month ,1,53,3,16,1,31,2,30,2,35,2,55,3,69,4,75,4,71,4,79,4
41,covid-19,I have worn a mask or face covering when in stores or other businesses some of the time in the past month ,1,21,2,20,1,24,2,22,2,26,2,25,2,18,1,16,1,20,1,17,1
42,covid-19,The coronavirus is a major threat to my personal financial situation,0,29,2,19,1,15,1,25,2,30,2,37,2,30,2,39,2,25,2,22,2
43,covid-19,The coronavirus is a major threat to my personal health,0,31,2,13,1,18,1,22,2,22,2,38,2,33,2,47,3,36,2,32,2
44,covid-19,The coronavirus is a major threat to the health of the U.S. population as a whole,0,61,4,23,2,34,2,40,3,42,3,64,4,76,4,85,5,81,5,92,5
45,covid-19,The coronavirus is a major threat to the U.S. economy,0,72,4,67,4,68,4,72,4,65,4,74,4,71,4,83,5,74,4,75,4
46,covid-19,The coronavirus is a minor threat to my personal financial situation,0,46,3,46,3,46,3,46,3,44,3,44,3,49,3,42,3,48,3,51,3
47,covid-19,The coronavirus is a minor threat to my personal health,0,50,3,52,3,53,3,49,3,54,3,47,3,52,3,42,3,55,3,60,4
48,covid-19,The coronavirus is a minor threat to the health of the U.S. population as a whole,0,33,2,60,4,57,3,49,3,51,3,31,2,21,2,13,1,17,1,8,1
49,covid-19,The coronavirus is a minor threat to the U.S. economy,0,24,2,26,2,28,2,22,2,29,2,24,2,26,2,16,1,23,2,24,2
50,covid-19,The coronavirus is not a threat to my personal financial situation,0,25,2,35,2,39,2,29,2,26,2,19,1,20,1,19,1,27,2,27,2
51,covid-19,The coronavirus is not a threat to my personal health,0,19,1,35,2,29,2,30,2,24,2,14,1,14,1,10,1,8,1,9,1
52,covid-19,The coronavirus is not a threat to the health of the U.S. population as a whole,0,6,1,16,1,9,1,12,1,7,1,5,1,2,1,1,1,1,1,0,1
53,covid-19,The coronavirus is not a threat to the U.S. economy,0,3,1,7,1,4,1,5,1,6,1,2,1,2,1,1,1,2,1,1,1
54,covid-19,The public health benefits of the restrictions on public activity to slow the spread of the coronavirus in the U.S. have been worth the costs,0,62,4,16,1,37,2,30,2,42,3,66,4,82,5,85,5,91,5,95,5
55,covid-19,The public health benefits of the restrictions on public activity to slow the spread of the coronavirus in the U.S. have NOT been worth the costs,0,37,2,83,5,62,4,69,4,56,3,32,2,17,1,13,1,8,1,5,1
56,covid-19,The statement 'It’s hard to make sense of all the information about COVID-19 vaccines' describes my views somewhat well,0,34,2,37,2,37,2,40,3,37,2,35,2,29,2,33,2,24,2,16,1
57,covid-19,The statement 'It’s hard to make sense of all the information about COVID-19 vaccines' describes my views very well,0,22,2,35,2,26,2,33,2,22,2,26,2,13,1,19,1,10,1,9,1
58,covid-19,The statement 'It’s hard to make sense of all the information about COVID-19 vaccines' does not describe my views at all well,0,20,1,11,1,13,1,11,1,15,1,12,1,27,2,22,2,34,2,44,3
59,covid-19,The statement 'It’s hard to make sense of all the information about COVID-19 vaccines' does not describe my views too well,0,24,2,17,1,23,2,16,1,26,2,26,2,31,2,25,2,31,2,31,2
60,covid-19,The statement 'People who choose not to get a COVID-19 vaccine are hurting the country' describes my views somewhat well,0,21,2,13,1,20,1,16,1,23,2,24,2,27,2,22,2,20,1,17,1
61,covid-19,The statement 'People who choose not to get a COVID-19 vaccine are hurting the country' describes my views very well,0,39,2,10,1,23,2,16,1,22,2,32,2,47,3,59,3,66,4,75,4
62,covid-19,The statement 'People who choose not to get a COVID-19 vaccine are hurting the country' does not describe my views at all well,0,25,2,58,3,35,2,47,3,34,2,26,2,12,1,11,1,6,1,5,1
63,covid-19,The statement 'People who choose not to get a COVID-19 vaccine are hurting the country' does not describe my views too well,0,14,1,19,1,22,2,20,1,21,2,17,1,13,1,7,1,6,1,3,1
64,covid-19,The statement 'Public health officials are not telling us everything they know about COVID-19 vaccines' describes my views somewhat well,0,28,2,29,2,31,2,33,2,30,2,31,2,24,2,29,2,19,1,11,1
65,covid-19,The statement 'Public health officials are not telling us everything they know about COVID-19 vaccines' describes my views very well,0,26,2,49,3,31,2,46,3,31,2,30,2,14,1,17,1,8,1,7,1
66,covid-19,The statement 'Public health officials are not telling us everything they know about COVID-19 vaccines' does not describe my views at all well,0,23,2,8,1,15,1,9,1,15,1,14,1,33,2,29,2,46,3,55,3
67,covid-19,The statement 'Public health officials are not telling us everything they know about COVID-19 vaccines' does not describe my views too well,0,22,2,14,1,22,2,11,1,24,2,24,2,29,2,23,2,25,2,27,2
68,covid-19,The statement 'There’s too much pressure on Americans to get a COVID-19 vaccine' describes my views somewhat well,0,21,2,23,2,22,2,23,2,28,2,23,2,17,1,19,1,13,1,6,1
69,covid-19,The statement 'There’s too much pressure on Americans to get a COVID-19 vaccine' describes my views very well,0,30,2,59,3,39,2,57,3,35,2,31,2,15,1,20,1,10,1,6,1
70,covid-19,The statement 'There’s too much pressure on Americans to get a COVID-19 vaccine' does not describe my views at all well,0,30,2,8,1,17,1,8,1,17,1,21,2,41,3,42,3,55,3,71,4
71,covid-19,The statement 'There’s too much pressure on Americans to get a COVID-19 vaccine' does not describe my views too well,0,19,1,10,1,22,2,12,1,20,1,23,2,26,2,17,1,20,1,17,1
72,covid-19,The statement 'Vaccines are the best way to protect Americans from COVID-19' describes my views somewhat well,0,26,2,30,2,28,2,30,2,27,2,31,2,31,2,24,2,18,1,11,1
73,covid-19,The statement 'Vaccines are the best way to protect Americans from COVID-19' describes my views very well,0,47,3,20,1,38,2,21,2,32,2,40,3,52,3,64,4,75,4,85,5
74,covid-19,The statement 'Vaccines are the best way to protect Americans from COVID-19' does not describe my views at all well,0,13,1,27,2,14,1,28,2,16,1,15,1,8,1,5,1,2,1,1,1
75,covid-19,The statement 'Vaccines are the best way to protect Americans from COVID-19' does not describe my views too well,0,14,1,22,2,19,1,21,2,24,2,14,1,9,1,6,1,4,1,3,1
76,covid-19,The statement 'We don’t really know yet if there are serious health risks from COVID-19 vaccines' describes my views somewhat well,0,31,2,29,2,33,2,31,2,36,2,35,2,33,2,34,2,27,2,20,1
77,covid-19,The statement 'We don’t really know yet if there are serious health risks from COVID-19 vaccines' describes my views very well,0,29,2,49,3,35,2,49,3,30,2,33,2,16,1,25,2,13,1,10,1
78,covid-19,The statement 'We don’t really know yet if there are serious health risks from COVID-19 vaccines' does not describe my views at all well,0,15,1,8,1,9,1,8,1,11,1,12,1,22,2,16,1,27,2,34,2
79,covid-19,The statement 'We don’t really know yet if there are serious health risks from COVID-19 vaccines' does not describe my views too well,0,24,2,13,1,22,2,11,1,23,2,20,1,29,2,25,2,32,2,36,2
80,domestic_policy,Abortion should be illegal in all cases,0,13,1,32,2,22,2,17,1,11,1,18,1,7,1,9,1,2,1,2,1
81,domestic_policy,Abortion should be illegal in most cases,0,26,2,52,3,46,3,44,3,34,2,23,2,15,1,15,1,12,1,3,1
82,domestic_policy,Abortion should be legal in all cases,0,25,2,2,1,10,1,11,1,12,1,19,1,38,2,31,2,42,3,59,3
83,domestic_policy,Abortion should be legal in most cases,0,34,2,11,1,23,2,26,2,42,3,37,2,38,2,43,3,43,3,36,2
84,domestic_policy,About the right amount of attention has been paid to the riot at the U.S. Capitol and its impacts,0,34,2,14,1,31,2,22,2,41,3,39,2,36,2,36,2,42,3,34,2
85,domestic_policy,Gun laws are about right,0,32,2,61,4,55,3,56,3,46,3,37,2,23,2,12,1,10,1,3,1
86,domestic_policy,Gun laws should be LESS strict than they are today,0,14,1,35,2,25,2,26,2,22,2,9,1,7,1,5,1,0,1,1,1
87,domestic_policy,Gun laws should be MORE strict than they are today,0,53,3,3,1,20,1,16,1,32,2,52,3,70,4,83,5,90,5,96,5
88,domestic_policy,I somewhat favor allowing people to carry concealed guns in more places,1,24,2,40,3,32,2,35,2,39,2,25,2,17,1,17,1,9,1,6,1
89,domestic_policy,I somewhat favor allowing people to carry concealed guns without a permit,1,12,1,25,2,17,1,20,1,23,2,8,1,7,1,4,1,2,1,3,1
90,domestic_policy,I somewhat favor allowing teachers and school officials to carry guns in K-12 schools,1,26,2,42,3,44,3,36,2,36,2,25,2,23,2,17,1,12,1,10,1
91,domestic_policy,I somewhat favor banning assault-style weapons,1,15,1,12,1,14,1,17,1,20,1,17,1,18,1,10,1,13,1,20,1
92,domestic_policy,I somewhat favor banning high-capacity ammunition magazines that hold more than 10 rounds,1,17,1,12,1,11,1,20,1,25,2,19,1,19,1,11,1,10,1,19,1
93,domestic_policy,I somewhat favor creating a federal government database to track all gun sales,1,20,1,22,2,18,1,20,1,23,2,21,2,28,2,18,1,17,1,19,1
94,domestic_policy,I somewhat favor making private gun sales and sales at gun shows subject to background checks,1,19,1,36,2,25,2,24,2,27,2,22,2,16,1,10,1,10,1,3,1
95,domestic_policy,I somewhat favor making tuition at public colleges and universities free for all American students,1,29,2,9,1,17,1,25,2,25,2,38,2,25,2,34,2,42,3,27,2
96,domestic_policy,I somewhat favor preventing people with mental illnesses from purchasing guns,1,17,1,21,2,21,2,21,2,27,2,16,1,21,2,6,1,10,1,11,1
97,domestic_policy,I somewhat favor shortening waiting periods for people who want to buy guns legally,1,21,2,33,2,39,2,26,2,31,2,21,2,19,1,13,1,10,1,5,1
98,domestic_policy,I somewhat favor the death penalty for persons convicted of murder,1,32,2,31,2,36,2,38,2,36,2,43,3,23,2,36,2,27,2,16,1
99,domestic_policy,I somewhat oppose allowing people to carry concealed guns in more places,1,21,2,11,1,19,1,16,1,20,1,33,2,28,2,20,1,18,1,26,2
100,domestic_policy,I somewhat oppose allowing people to carry concealed guns without a permit,1,17,1,27,2,31,2,21,2,26,2,22,2,16,1,8,1,9,1,8,1
101,domestic_policy,I somewhat oppose allowing teachers and school officials to carry guns in K-12 schools,1,20,1,11,1,15,1,13,1,26,2,24,2,22,2,23,2,18,1,19,1
102,domestic_policy,I somewhat oppose banning assault-style weapons,1,15,1,28,2,21,2,21,2,24,2,17,1,13,1,8,1,6,1,3,1
103,domestic_policy,I somewhat oppose banning high-capacity ammunition magazines that hold more than 10 rounds,1,16,1,27,2,26,2,17,1,22,2,19,1,15,1,10,1,7,1,4,1
104,domestic_policy,I somewhat oppose creating a federal government database to track all gun sales,1,12,1,17,1,16,1,18,1,20,1,17,1,8,1,7,1,5,1,7,1
105,domestic_policy,I somewhat oppose making private gun sales and sales at gun shows subject to background checks,1,9,1,18,1,12,1,19,1,15,1,11,1,6,1,2,1,2,1,1,1
106,domestic_policy,I somewhat oppose making tuition at public colleges and universities free for all American students,1,16,1,16,1,24,2,23,2,23,2,19,1,7,1,12,1,13,1,6,1
107,domestic_policy,I somewhat oppose preventing people with mental illnesses from purchasing guns,1,8,1,9,1,6,1,10,1,13,1,10,1,5,1,4,1,3,1,8,1
108,domestic_policy,I somewhat oppose shortening waiting periods for people who want to buy guns legally,1,24,2,32,2,20,1,23,2,27,2,28,2,26,2,21,2,21,2,21,2
109,domestic_policy,I somewhat oppose the death penalty for persons convicted of murder,1,24,2,12,1,13,1,14,1,27,2,20,1,34,2,26,2,29,2,36,2
110,domestic_policy,I strongly favor allowing people to carry concealed guns in more places,1,19,1,46,3,34,2,40,3,24,2,15,1,10,1,8,1,2,1,1,1
111,domestic_policy,I strongly favor allowing people to carry concealed guns without a permit,1,9,1,21,2,14,1,17,1,10,1,6,1,4,1,3,1,1,1,0,1
112,domestic_policy,I strongly favor allowing teachers and school officials to carry guns in K-12 schools,1,16,1,41,3,24,2,32,2,18,1,15,1,8,1,9,1,2,1,1,1
113,domestic_policy,I strongly favor banning assault-style weapons,1,48,3,7,1,24,2,22,2,24,2,49,3,59,3,72,4,75,4,74,4
114,domestic_policy,I strongly favor banning high-capacity ammunition magazines that hold more than 10 rounds,1,47,3,10,1,25,2,24,2,22,2,47,3,56,3,71,4,74,4,75,4
115,domestic_policy,I strongly favor creating a federal government database to track all gun sales,1,46,3,5,1,24,2,24,2,26,2,50,3,56,3,70,4,70,4,72,4
116,domestic_policy,I strongly favor making private gun sales and sales at gun shows subject to background checks,1,62,4,26,2,46,3,46,3,43,3,59,3,73,4,83,5,81,5,95,5
117,domestic_policy,I strongly favor making tuition at public colleges and universities free for all American students,1,34,2,5,1,11,1,15,1,20,1,34,2,65,4,50,3,42,3,67,4
118,domestic_policy,I strongly favor preventing people with mental illnesses from purchasing guns,1,70,4,65,4,67,4,64,4,54,3,68,4,69,4,84,5,80,5,81,5
119,domestic_policy,I strongly favor shortening waiting periods for people who want to buy guns legally,1,14,1,27,2,19,1,29,2,21,2,10,1,6,1,8,1,4,1,3,1
120,domestic_policy,I strongly favor the death penalty for persons convicted of murder,1,27,2,53,3,44,3,45,3,25,2,27,2,8,1,23,2,17,1,6,1
121,domestic_policy,I strongly oppose allowing people to carry concealed guns in more places,1,35,2,3,1,13,1,9,1,17,1,28,2,45,3,54,3,70,4,67,4
122,domestic_policy,I strongly oppose allowing people to carry concealed guns without a permit,1,62,4,26,2,36,2,41,3,42,3,63,4,72,4,84,5,87,5,89,5
123,domestic_policy,I strongly oppose allowing teachers and school officials to carry guns in K-12 schools,1,37,2,5,1,17,1,19,1,21,2,35,2,47,3,50,3,67,4,70,4
124,domestic_policy,I strongly oppose banning assault-style weapons,1,21,2,52,3,40,3,40,3,32,2,16,1,10,1,8,1,5,1,2,1
125,domestic_policy,I strongly oppose banning high-capacity ammunition magazines that hold more than 10 rounds,1,20,1,50,3,37,2,38,2,30,2,13,1,10,1,6,1,7,1,3,1
126,domestic_policy,I strongly oppose creating a federal government database to track all gun sales,1,20,1,56,3,41,3,38,2,30,2,11,1,8,1,5,1,5,1,2,1
127,domestic_policy,I strongly oppose making private gun sales and sales at gun shows subject to background checks,1,9,1,21,2,17,1,10,1,15,1,7,1,4,1,5,1,4,1,1,1
128,domestic_policy,I strongly oppose making tuition at public colleges and universities free for all American students,1,20,1,70,4,48,3,36,2,31,2,8,1,2,1,3,1,3,1,1,1
129,domestic_policy,I strongly oppose preventing people with mental illnesses from purchasing guns,1,4,1,4,1,5,1,2,1,5,1,6,1,3,1,5,1,5,1,1,1
130,domestic_policy,I strongly oppose shortening waiting periods for people who want to buy guns legally,1,40,3,7,1,18,1,21,2,21,2,40,3,48,3,58,3,63,4,71,4
131,domestic_policy,I strongly oppose the death penalty for persons convicted of murder,1,15,1,3,1,6,1,3,1,10,1,9,1,34,2,15,1,25,2,41,3
132,domestic_policy,It is not at all important for federal law enforcement agencies to find and prosecute the individuals who broke into and rioted at the U.S. Capitol on January 6,0,9,1,29,2,16,1,25,2,11,1,4,1,3,1,1,1,0,1,1,1
133,domestic_policy,It is not too important for federal law enforcement agencies to find and prosecute the individuals who broke into and rioted at the U.S. Capitol on January 6,0,12,1,30,2,22,2,21,2,21,2,11,1,7,1,1,1,1,1,1,1
134,domestic_policy,It is somewhat important for federal law enforcement agencies to find and prosecute the individuals who broke into and rioted at the U.S. Capitol on January 6,0,21,2,25,2,32,2,31,2,31,2,26,2,23,2,10,1,11,1,6,1
135,domestic_policy,It is very important for federal law enforcement agencies to find and prosecute the individuals who broke into and rioted at the U.S. Capitol on January 6,0,56,3,15,1,28,2,21,2,36,2,58,3,66,4,88,5,88,5,92,5
136,domestic_policy,People who are convicted of crimes in this country serve about the right amount of time in prison,0,37,2,32,2,51,3,29,2,50,3,39,2,32,2,39,2,41,3,12,1
137,domestic_policy,People who are convicted of crimes in this country serve too little time in prison,0,32,2,58,3,34,2,61,4,28,2,36,2,10,1,29,2,19,1,4,1
138,domestic_policy,People who are convicted of crimes in this country serve too much time in prison,0,28,2,8,1,12,1,8,1,20,1,22,2,55,3,28,2,37,2,81,5
139,domestic_policy,Spending on policing should be decreased a little,0,9,1,1,1,2,1,4,1,7,1,5,1,20,1,8,1,16,1,24,2
140,domestic_policy,Spending on policing should be decreased a lot,0,6,1,0,1,2,1,2,1,3,1,2,1,21,2,3,1,6,1,24,2
141,domestic_policy,Spending on policing should be increased a little,0,26,2,34,2,36,2,30,2,26,2,29,2,11,1,24,2,21,2,13,1
142,domestic_policy,Spending on policing should be increased a lot,0,21,2,36,2,29,2,35,2,19,1,24,2,5,1,23,2,10,1,4,1
143,domestic_policy,Spending on policing should stay about the same,0,37,2,29,2,30,2,30,2,45,3,39,2,41,3,42,3,47,3,33,2
144,domestic_policy,The criminal penalties the individuals who broke into the Capitol and rioted have been receiving are about right,0,29,2,30,2,43,3,34,2,45,3,31,2,31,2,18,1,23,2,14,1
145,domestic_policy,The criminal penalties the individuals who broke into the Capitol and rioted have been receiving are not severe enough,0,48,3,8,1,14,1,15,1,27,2,51,3,61,4,76,4,71,4,84,5
146,domestic_policy,The criminal penalties the individuals who broke into the Capitol and rioted have been receiving are too severe ,0,20,1,58,3,39,2,46,3,23,2,12,1,4,1,4,1,3,1,1,1
147,domestic_policy,The use of marijuana by adults should be legal for medical AND recreational use,0,60,4,33,2,44,3,45,3,60,4,62,4,73,4,65,4,70,4,91,5
148,domestic_policy,The use of marijuana by adults should be legal for medical use ONLY,0,31,2,47,3,43,3,44,3,33,2,28,2,22,2,25,2,25,2,7,1
149,domestic_policy,The use of marijuana by adults should NOT be legal,0,8,1,19,1,11,1,11,1,7,1,8,1,4,1,7,1,5,1,2,1
150,domestic_policy,Too little attention has been paid to the riot at the U.S. Capitol and its impacts,0,35,2,5,1,10,1,12,1,21,2,38,2,50,3,57,3,51,3,63,4
151,domestic_policy,Too much attention has been paid to the riot at the U.S. Capitol and its impacts,0,29,2,79,4,58,3,65,4,36,2,21,2,12,1,6,1,6,1,3,1
152,economics_finances,"A year from now, I expect that economic conditions in the country as a whole will be about the same as now",1,34,2,16,1,28,2,24,2,35,2,40,3,47,3,36,2,37,2,37,2
153,economics_finances,"A year from now, I expect that economic conditions in the country as a whole will be better",1,29,2,4,1,14,1,5,1,18,1,26,2,29,2,47,3,55,3,52,3
154,economics_finances,"A year from now, I expect that economic conditions in the country as a whole will be worse",1,37,2,80,5,58,3,71,4,47,3,34,2,24,2,16,1,7,1,12,1
155,economics_finances,"A year from now, I expect that the financial situation of me and my family will be about the same as now",1,49,3,49,3,51,3,51,3,49,3,51,3,44,3,51,3,51,3,49,3
156,economics_finances,"A year from now, I expect that the financial situation of me and my family will be better",1,36,2,20,1,30,2,21,2,34,2,33,2,48,3,42,3,44,3,47,3
157,economics_finances,"A year from now, I expect that the financial situation of me and my family will be worse",1,14,1,30,2,19,1,26,2,16,1,15,1,8,1,7,1,4,1,4,1
158,economics_finances,Business corporations make too much profit,0,64,4,19,1,21,2,81,5,28,2,77,4,84,5,79,4,74,4,93,5
159,economics_finances,Economic conditions in this country today are excellent,0,2,1,0,1,1,1,0,1,1,1,3,1,1,1,3,1,3,1,0,1
160,economics_finances,Economic conditions in this country today are good,0,24,2,8,1,23,2,8,1,25,2,22,2,22,2,29,2,45,3,24,2
161,economics_finances,Economic conditions in this country today are only fair,0,50,3,47,3,51,3,46,3,50,3,52,3,58,3,53,3,46,3,58,3
162,economics_finances,Economic conditions in this country today are poor,0,24,2,45,3,26,2,46,3,24,2,23,2,20,1,15,1,5,1,17,1
163,economics_finances,Government regulation of business is necessary to protect the public interest,0,55,3,13,1,28,2,26,2,36,2,59,3,72,4,74,4,86,5,93,5
164,economics_finances,Government regulation of business usually does more harm than good,0,43,3,85,5,70,4,73,4,63,4,39,2,25,2,23,2,12,1,7,1
165,economics_finances,I am personally not at all concerned about employers being unable to find workers to hire,1,6,1,3,1,2,1,4,1,5,1,5,1,14,1,4,1,5,1,13,1
166,economics_finances,I am personally not at all concerned about people facing eviction or foreclosure,1,7,1,17,1,13,1,12,1,9,1,6,1,3,1,3,1,2,1,2,1
167,economics_finances,I am personally not at all concerned about people who want to work being unable to find jobs,1,15,1,26,2,24,2,22,2,22,2,12,1,8,1,8,1,8,1,6,1
168,economics_finances,I am personally not at all concerned about rising prices for food and consumer goods,1,1,1,0,1,0,1,0,1,1,1,2,1,2,1,1,1,1,1,2,1
169,economics_finances,I am personally not too concerned about employers being unable to find workers to hire,1,15,1,9,1,10,1,7,1,15,1,13,1,27,2,14,1,20,1,32,2
170,economics_finances,I am personally not too concerned about people facing eviction or foreclosure,1,21,2,37,2,37,2,28,2,35,2,17,1,11,1,10,1,14,1,6,1
171,economics_finances,I am personally not too concerned about people who want to work being unable to find jobs,1,23,2,31,2,29,2,22,2,32,2,22,2,24,2,18,1,24,2,19,1
172,economics_finances,I am personally not too concerned about rising prices for food and consumer goods,1,6,1,3,1,5,1,2,1,8,1,3,1,5,1,5,1,11,1,8,1
