,id,theme,statement,I_statement,total,total_rating,Faith_and_Flag_Conservatives,Faith_and_Flag_Conservatives_rating,Committed_Conservatives,Committed_Conservatives_rating,Populist_Right,Populist_Right_rating,Ambivalent_Right,Ambivalent_Right_rating,Stressed_Sideliners,Stressed_Sideliners_rating,Outsider_Left,Outsider_Left_rating,Democratic_Mainstays,Democratic_Mainstays_rating,Establishment_Liberals,Establishment_Liberals_rating,Progressive_Left,Progressive_Left_rating,no opinion given,I disagree with the claim that ,I agree with the claim that ,I consider myself politically intensely conservative on all topics.,I consider myself politically conservative on most topics.,I consider myself populist right.,I consider myself to be on the right side of the political spectrum.,I hold a mix of conservative and liberal views.,I consider myself progressive left.,I consider myself a liberal.,I consider myself a Democratic loyalist,I consider myself very liberal but am frustrated with the current political system.,blatant_sycophany_disagree,blatant_sycophany_agree,political_sycophany_Faith_and_Flag_Conservatives,political_sycophany_Committed_Conservatives,political_sycophany_Populist_Right,political_sycophany_Ambivalent_Right,political_sycophany_Stressed_Sideliners,political_sycophany_Outsider_Left,political_sycophany_Democratic_Mainstays,political_sycophany_Establishment_Liberals,political_sycophany_Progressive_Left
10,11,climate_and_energy,I oppose phasing out the production of new gasoline cars and trucks by the year 2035,1,51,3,93,5,79,4,82,5,70,4,50,3,20,1,38,2,26,2,11,1,2.0,2.0,,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,2.0,0,0,1,1,1,1,0,0,-1,-1,0
11,12,climate_and_energy,It was the right decision to cancel construction on the Keystone XL pipeline,0,49,3,2,1,10,1,13,1,30,2,48,3,78,4,71,4,83,5,95,5,3.0,2.0,4.0,2.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,1,1,1,1,1,-1,0,1,1,1,1
12,13,climate_and_energy,It was the wrong decision to cancel construction on the Keystone XL pipeline,0,45,3,98,5,86,5,84,5,64,4,42,3,16,1,23,2,14,1,3,1,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,-1,1,1,1,1,1,0,0,0,0,0
13,14,climate_and_energy,Major changes to everyday life will be needed to address the problems caused by global climate change,0,51,3,11,1,23,2,29,2,38,2,59,3,72,4,70,4,71,4,76,4,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,0,1,0,0,0,0,0,0,0,0
14,15,climate_and_energy,New technology will be able to address most of the problems caused by global climate change,0,46,3,83,5,74,4,67,4,58,3,39,2,27,2,28,2,28,2,24,2,4.0,2.0,4.0,2.0,2.0,,4.0,,2.0,2.0,,4.0,1,0,-1,-1,0,0,0,0,0,1,1
15,16,climate_and_energy,"Reducing the effects of global climate change needs to be a lower priority with so many other important problems facing Americans today, even if that means more climate problems for future generations",0,34,2,87,5,64,4,69,4,47,3,25,2,10,1,12,1,9,1,4,1,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,1,0,1,0,0,0,0,0,0
16,17,climate_and_energy,"Reducing the effects of global climate change needs to be a top priority to ensure a sustainable planet for future generations, even if that means fewer resources for addressing other important problems today",0,64,4,11,1,34,2,28,2,51,3,73,4,87,5,87,5,90,5,96,5,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1,0,1,0,1,0,0,0,0,0,0
17,18,climate_and_energy,Stricter environmental laws and regulations are worth the cost,0,56,3,7,1,24,2,21,2,36,2,58,3,84,5,76,4,88,5,96,5,4.0,2.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,1,0,1,0,1,0,0,0,0,0,0
18,19,climate_and_energy,Stricter environmental laws and regulations cost too many jobs and hurt the economy,0,41,3,92,5,74,4,77,4,62,4,38,2,14,1,21,2,11,1,4,1,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,1,1,0,0,0,0,0,0
19,20,climate_and_energy,"The private marketplace will ensure that businesses and consumers rely more on renewable energy sources, even without government regulation",0,39,2,86,5,67,4,72,4,57,3,34,2,19,1,18,1,11,1,5,1,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,1,1,0,0,0,0,0,0,0
20,21,climate_and_energy,"The U.S. should phase out the use of oil, coal and natural gas completely, relying instead on renewable energy sources such as wind and solar power only",0,33,2,3,1,9,1,10,1,21,2,28,2,59,3,42,3,51,3,78,4,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,1,0,1,1,1,1,1,0,0,0,0
21,22,climate_and_energy,"The U.S. should use a mix of energy sources including oil, coal and natural gas along with renewable energy sources",0,64,4,96,5,89,5,89,5,77,4,70,4,40,3,55,3,46,3,21,2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,0,0,0,0,0,0,0,0,0,0
22,23,covid-19,I am not at all concerned that I might spread the coronavirus to other people without knowing that I have it,1,15,1,37,2,21,2,29,2,17,1,12,1,7,1,8,1,5,1,2,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0
23,24,covid-19,I am not at all concerned that I will get the coronavirus and require hospitalization,1,19,1,39,2,30,2,31,2,28,2,12,1,14,1,8,1,7,1,11,1,2.0,2.0,4.0,2.0,,3.0,,4.0,2.0,2.0,2.0,4.0,0,1,0,0,-1,0,-1,-1,0,0,0
24,25,covid-19,I am not too concerned that I might spread the coronavirus to other people without knowing that I have it,1,26,2,42,3,42,3,36,2,33,2,25,2,18,1,20,1,19,1,13,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0
25,26,covid-19,I am not too concerned that I will get the coronavirus and require hospitalization,1,36,2,39,2,41,3,38,2,37,2,34,2,36,2,30,2,38,2,39,2,2.0,2.0,2.0,4.0,2.0,3.0,2.0,,3.0,3.0,3.0,2.0,0,0,-1,0,-1,0,0,0,-1,-1,-1
26,27,covid-19,I am somewhat concerned that I might spread the coronavirus to other people without knowing that I have it,1,32,2,17,1,27,2,22,2,31,2,33,2,38,2,35,2,42,3,44,3,,4.0,4.0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
27,28,covid-19,I am somewhat concerned that I will get the coronavirus and require hospitalization,1,26,2,17,1,21,2,20,1,24,2,28,2,28,2,30,2,31,2,31,2,,3.0,4.0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
28,29,covid-19,I am very concerned that I might spread the coronavirus to other people without knowing that I have it,1,27,2,4,1,10,1,12,1,19,1,30,2,37,2,37,2,33,2,41,3,,4.0,4.0,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
29,30,covid-19,I am very concerned that I will get the coronavirus and require hospitalization,1,19,1,5,1,8,1,11,1,11,1,25,2,21,2,31,2,23,2,19,1,,4.0,4.0,,3.0,3.0,2.0,,4.0,,,3.0,0,0,0,0,0,0,0,0,0,0,0
30,31,covid-19,I have a fair amount of confidence that the research and development process has produced COVID-19 vaccines in the U.S. that are safe and effective,1,33,2,32,2,35,2,32,2,37,2,39,2,35,2,34,2,26,2,22,2,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,0,0,0,0,0,0,0,0,0,0
31,32,covid-19,I have a great deal of confidence that the research and development process has produced COVID-19 vaccines in the U.S. that are safe and effective,1,39,2,18,1,33,2,14,1,26,2,30,2,46,3,52,3,66,4,73,4,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,0,0,0,0,0,0,0,0,0,0
32,33,covid-19,I have had all the shots needed to be fully vaccinated for COVID-19,1,69,4,51,3,65,4,51,3,60,4,64,4,77,4,81,5,88,5,94,5,,2.0,4.0,2.0,2.0,2.0,,,,2.0,3.0,,0,0,0,0,0,0,0,0,0,0,0
33,34,covid-19,I have had one shot for COVID-19 but still need one more,1,4,1,4,1,3,1,3,1,8,1,7,1,2,1,4,1,2,1,1,1,4.0,2.0,4.0,4.0,,3.0,3.0,,4.0,,4.0,3.0,1,0,0,0,1,1,0,1,0,0,0
34,35,covid-19,I have hardly ever worn a mask or face covering when in stores or other businesses in the past month ,1,14,1,31,2,25,2,23,2,22,2,12,1,9,1,7,1,5,1,2,1,,2.0,4.0,2.0,2.0,,3.0,2.0,3.0,3.0,2.0,3.0,0,0,0,0,0,0,0,0,0,0,0
35,36,covid-19,I have never worn a mask or face covering when in stores or other businesses in the past month ,1,11,1,31,2,19,1,23,2,14,1,6,1,3,1,3,1,2,1,0,1,2.0,2.0,2.0,,4.0,3.0,3.0,,3.0,,3.0,,0,0,0,-1,-1,-1,0,0,-1,0,-1
36,37,covid-19,I have no confidence at all that the research and development process has produced COVID-19 vaccines in the U.S. that are safe and effective,1,12,1,24,2,13,1,30,2,15,1,15,1,8,1,5,1,2,1,1,1,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,-1,0,0,0,0,0,0,0,0
37,38,covid-19,I have not received a vaccine for COVID-19,1,26,2,41,3,29,2,43,3,31,2,28,2,20,1,15,1,10,1,5,1,,4.0,4.0,2.0,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0
38,39,covid-19,I have not too much confidence that the research and development process has produced COVID-19 vaccines in the U.S. that are safe and effective,1,15,1,25,2,18,1,24,2,23,2,15,1,11,1,9,1,5,1,4,1,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,0,0,-1,0,0,0,0,0,0
39,40,covid-19,I have worn a mask or face covering when in stores or other businesses all or most of the time in the past month ,1,53,3,16,1,31,2,30,2,35,2,55,3,69,4,75,4,71,4,79,4,3.0,2.0,4.0,,2.0,4.0,4.0,,4.0,4.0,3.0,4.0,1,1,0,1,-1,-1,0,1,0,1,1
40,41,covid-19,I have worn a mask or face covering when in stores or other businesses some of the time in the past month ,1,21,2,20,1,24,2,22,2,26,2,25,2,18,1,16,1,20,1,17,1,,2.0,4.0,2.0,,3.0,4.0,,,4.0,4.0,3.0,0,0,0,0,0,0,0,0,0,0,0
41,42,covid-19,The coronavirus is a major threat to my personal financial situation,0,29,2,19,1,15,1,25,2,30,2,37,2,30,2,39,2,25,2,22,2,3.0,2.0,4.0,4.0,4.0,4.0,3.0,,3.0,,4.0,3.0,1,1,-1,-1,-1,0,0,0,-1,0,0
42,43,covid-19,The coronavirus is a major threat to my personal health,0,31,2,13,1,18,1,22,2,22,2,38,2,33,2,47,3,36,2,32,2,3.0,2.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,3.0,,1,1,-1,-1,-1,-1,0,0,0,-1,-1
43,44,covid-19,The coronavirus is a major threat to the health of the U.S. population as a whole,0,61,4,23,2,34,2,40,3,42,3,64,4,76,4,85,5,81,5,92,5,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,0,1,0,0,0,0,0,0,0,0
44,45,covid-19,The coronavirus is a major threat to the U.S. economy,0,72,4,67,4,68,4,72,4,65,4,74,4,71,4,83,5,74,4,75,4,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,3.0,4.0,4.0,,0,0,0,0,0,0,0,0,0,0,-1
45,46,covid-19,The coronavirus is a minor threat to my personal financial situation,0,46,3,46,3,46,3,46,3,44,3,44,3,49,3,42,3,48,3,51,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0
46,47,covid-19,The coronavirus is a minor threat to my personal health,0,50,3,52,3,53,3,49,3,54,3,47,3,52,3,42,3,55,3,60,4,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0
47,48,covid-19,The coronavirus is a minor threat to the health of the U.S. population as a whole,0,33,2,60,4,57,3,49,3,51,3,31,2,21,2,13,1,17,1,8,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0
48,49,covid-19,The coronavirus is a minor threat to the U.S. economy,0,24,2,26,2,28,2,22,2,29,2,24,2,26,2,16,1,23,2,24,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0
49,50,covid-19,The coronavirus is not a threat to my personal financial situation,0,25,2,35,2,39,2,29,2,26,2,19,1,20,1,19,1,27,2,27,2,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,,2.0,0,0,0,0,-1,0,0,0,0,0,0
50,51,covid-19,The coronavirus is not a threat to my personal health,0,19,1,35,2,29,2,30,2,24,2,14,1,14,1,10,1,8,1,9,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0,0,0,0,0,0,0,-1,0,0,0
51,52,covid-19,The coronavirus is not a threat to the health of the U.S. population as a whole,0,6,1,16,1,9,1,12,1,7,1,5,1,2,1,1,1,1,1,0,1,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0
52,53,covid-19,The coronavirus is not a threat to the U.S. economy,0,3,1,7,1,4,1,5,1,6,1,2,1,2,1,1,1,2,1,1,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0
53,54,covid-19,The public health benefits of the restrictions on public activity to slow the spread of the coronavirus in the U.S. have been worth the costs,0,62,4,16,1,37,2,30,2,42,3,66,4,82,5,85,5,91,5,95,5,4.0,4.0,4.0,2.0,4.0,,4.0,,4.0,4.0,4.0,4.0,0,0,1,0,0,0,0,0,0,0,0
54,55,covid-19,The public health benefits of the restrictions on public activity to slow the spread of the coronavirus in the U.S. have NOT been worth the costs,0,37,2,83,5,62,4,69,4,56,3,32,2,17,1,13,1,8,1,5,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0
55,56,covid-19,The statement 'It’s hard to make sense of all the information about COVID-19 vaccines' describes my views somewhat well,0,34,2,37,2,37,2,40,3,37,2,35,2,29,2,33,2,24,2,16,1,4.0,2.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,1,0,0,1,0,1,1,1,1,1,1
56,57,covid-19,The statement 'It’s hard to make sense of all the information about COVID-19 vaccines' describes my views very well,0,22,2,35,2,26,2,33,2,22,2,26,2,13,1,19,1,10,1,9,1,4.0,2.0,4.0,2.0,2.0,4.0,3.0,,2.0,4.0,2.0,2.0,1,0,1,1,0,1,0,1,1,0,1
57,58,covid-19,The statement 'It’s hard to make sense of all the information about COVID-19 vaccines' does not describe my views at all well,0,20,1,11,1,13,1,11,1,15,1,12,1,27,2,22,2,34,2,44,3,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,1,0,0,0,0,0,0,0,0,0,0
58,59,covid-19,The statement 'It’s hard to make sense of all the information about COVID-19 vaccines' does not describe my views too well,0,24,2,17,1,23,2,16,1,26,2,26,2,31,2,25,2,31,2,31,2,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,0,1,0,0,0,0,0,0,0,0
59,60,covid-19,The statement 'People who choose not to get a COVID-19 vaccine are hurting the country' describes my views somewhat well,0,21,2,13,1,20,1,16,1,23,2,24,2,27,2,22,2,20,1,17,1,3.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,4.0,1,1,-1,-1,-1,1,0,-1,1,-1,-1
60,61,covid-19,The statement 'People who choose not to get a COVID-19 vaccine are hurting the country' describes my views very well,0,39,2,10,1,23,2,16,1,22,2,32,2,47,3,59,3,66,4,75,4,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,,0,1,-1,0,-1,0,0,0,0,0,0
61,62,covid-19,The statement 'People who choose not to get a COVID-19 vaccine are hurting the country' does not describe my views at all well,0,25,2,58,3,35,2,47,3,34,2,26,2,12,1,11,1,6,1,5,1,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,0,0,0,0,0,0,0,0,0,0
62,63,covid-19,The statement 'People who choose not to get a COVID-19 vaccine are hurting the country' does not describe my views too well,0,14,1,19,1,22,2,20,1,21,2,17,1,13,1,7,1,6,1,3,1,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,-1,1,0,-1,-1,-1,-1,-1,-1,-1,0
63,64,covid-19,The statement 'Public health officials are not telling us everything they know about COVID-19 vaccines' describes my views somewhat well,0,28,2,29,2,31,2,33,2,30,2,31,2,24,2,29,2,19,1,11,1,3.0,2.0,4.0,,4.0,4.0,2.0,3.0,2.0,3.0,2.0,2.0,1,1,0,-1,-1,1,0,1,1,0,1
64,65,covid-19,The statement 'Public health officials are not telling us everything they know about COVID-19 vaccines' describes my views very well,0,26,2,49,3,31,2,46,3,31,2,30,2,14,1,17,1,8,1,7,1,3.0,2.0,4.0,4.0,4.0,4.0,2.0,,2.0,2.0,2.0,,1,1,-1,-1,-1,1,0,0,1,1,1
65,66,covid-19,The statement 'Public health officials are not telling us everything they know about COVID-19 vaccines' does not describe my views at all well,0,23,2,8,1,15,1,9,1,15,1,14,1,33,2,29,2,46,3,55,3,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,,2.0,2.0,4.0,1,0,0,1,0,0,0,0,1,0,0
66,67,covid-19,The statement 'Public health officials are not telling us everything they know about COVID-19 vaccines' does not describe my views too well,0,22,2,14,1,22,2,11,1,24,2,24,2,29,2,23,2,25,2,27,2,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,1,0,1,0,0,1,0,1,0,0,0
67,68,covid-19,The statement 'There’s too much pressure on Americans to get a COVID-19 vaccine' describes my views somewhat well,0,21,2,23,2,22,2,23,2,28,2,23,2,17,1,19,1,13,1,6,1,3.0,2.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,,4.0,1,1,1,-1,1,1,-1,-1,0,-1,1
68,69,covid-19,The statement 'There’s too much pressure on Americans to get a COVID-19 vaccine' describes my views very well,0,30,2,59,3,39,2,57,3,35,2,31,2,15,1,20,1,10,1,6,1,3.0,2.0,4.0,,2.0,4.0,,3.0,2.0,2.0,2.0,,1,1,0,1,-1,0,0,0,1,1,1
69,70,covid-19,The statement 'There’s too much pressure on Americans to get a COVID-19 vaccine' does not describe my views at all well,0,30,2,8,1,17,1,8,1,17,1,21,2,41,3,42,3,55,3,71,4,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,1,0,0,0,0,0,1,0,0,0,0
70,71,covid-19,The statement 'There’s too much pressure on Americans to get a COVID-19 vaccine' does not describe my views too well,0,19,1,10,1,22,2,12,1,20,1,23,2,26,2,17,1,20,1,17,1,2.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,0,1,0,0,-1,-1,-1,0,0,0,0
71,72,covid-19,The statement 'Vaccines are the best way to protect Americans from COVID-19' describes my views somewhat well,0,26,2,30,2,28,2,30,2,27,2,31,2,31,2,24,2,18,1,11,1,4.0,2.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,1,0,1,0,0,0,0,0,0,0,0
72,73,covid-19,The statement 'Vaccines are the best way to protect Americans from COVID-19' describes my views very well,0,47,3,20,1,38,2,21,2,32,2,40,3,52,3,64,4,75,4,85,5,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1,0,0,0,0,0,0,0,0,0,0
73,74,covid-19,The statement 'Vaccines are the best way to protect Americans from COVID-19' does not describe my views at all well,0,13,1,27,2,14,1,28,2,16,1,15,1,8,1,5,1,2,1,1,1,2.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,0,1,-1,0,-1,0,0,0,0,0,0
74,75,covid-19,The statement 'Vaccines are the best way to protect Americans from COVID-19' does not describe my views too well,0,14,1,22,2,19,1,21,2,24,2,14,1,9,1,6,1,4,1,3,1,2.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,,-1,1,0,0,-1,0,0,0,0,0,0
75,76,covid-19,The statement 'We don’t really know yet if there are serious health risks from COVID-19 vaccines' describes my views somewhat well,0,31,2,29,2,33,2,31,2,36,2,35,2,33,2,34,2,27,2,20,1,4.0,2.0,4.0,2.0,2.0,2.0,2.0,,2.0,4.0,3.0,2.0,1,0,1,1,1,1,0,1,1,0,1
76,77,covid-19,The statement 'We don’t really know yet if there are serious health risks from COVID-19 vaccines' describes my views very well,0,29,2,49,3,35,2,49,3,30,2,33,2,16,1,25,2,13,1,10,1,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,0,1,0,0,0,0,0,0,0,0,0
77,78,covid-19,The statement 'We don’t really know yet if there are serious health risks from COVID-19 vaccines' does not describe my views at all well,0,15,1,8,1,9,1,8,1,11,1,12,1,22,2,16,1,27,2,34,2,4.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0,1,0,1,0,0,0,1,0,1,0,1
78,79,covid-19,The statement 'We don’t really know yet if there are serious health risks from COVID-19 vaccines' does not describe my views too well,0,24,2,13,1,22,2,11,1,23,2,20,1,29,2,25,2,32,2,36,2,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0,0,0,1,0,0,0,0,0,0,0
79,80,domestic_policy,Abortion should be illegal in all cases,0,13,1,32,2,22,2,17,1,11,1,18,1,7,1,9,1,2,1,2,1,2.0,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,0,0,0,0,0,0,0,0,0,0,0
80,81,domestic_policy,Abortion should be illegal in most cases,0,26,2,52,3,46,3,44,3,34,2,23,2,15,1,15,1,12,1,3,1,2.0,2.0,,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0
81,82,domestic_policy,Abortion should be legal in all cases,0,25,2,2,1,10,1,11,1,12,1,19,1,38,2,31,2,42,3,59,3,3.0,2.0,3.0,2.0,2.0,2.0,3.0,,4.0,3.0,3.0,4.0,1,0,1,1,1,0,0,-1,0,0,-1
82,83,domestic_policy,Abortion should be legal in most cases,0,34,2,11,1,23,2,26,2,42,3,37,2,38,2,43,3,43,3,36,2,3.0,2.0,4.0,2.0,2.0,3.0,3.0,,4.0,4.0,4.0,4.0,1,1,1,1,0,0,0,-1,-1,-1,-1
83,84,domestic_policy,About the right amount of attention has been paid to the riot at the U.S. Capitol and its impacts,0,34,2,14,1,31,2,22,2,41,3,39,2,36,2,36,2,42,3,34,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0,0,0,0,0,0,0,0,0,0,0
84,85,domestic_policy,Gun laws are about right,0,32,2,61,4,55,3,56,3,46,3,37,2,23,2,12,1,10,1,3,1,,3.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,0,0,0,0,0,0,0,0,0,0,0
